Country,Province,Partner,Funded_By,Program,Year
Afghanistan,Herat,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Herat,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Herat,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Herat,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Herat,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Badghis,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Badghis,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Badghis,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Badghis,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Badghis,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Khost,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Khost,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Khost,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Khost,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Khost,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Loghar,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Loghar,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Loghar,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Loghar,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Loghar,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Paktiya,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Helmand,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Helmand,IRC,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Helmand,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Helmand,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Helmand,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Helmand,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Helmand,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Bamyan,AKF/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Samangan,AKF/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Balkh,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Balkh,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Takhar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Jowzjan,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Sar-e Pul,ZOA,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Faryab,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Faryab,SC/US,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Faryab,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Uruzgan,ZOA,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Kunduz,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Kunduz,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Baghlan,ACTED,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Baghlan,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Humanitarian Coordination and Information Management,2016
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Baghlan,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Kabul,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Kabul,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Kabul,AKF/US,USAID/OFDA,Humanitarian Coordination and Information Management,2016
Afghanistan,Kabul,AKF/US,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Zabul,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Zabul,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Kandahar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Kandahar,SC/US,USAID/OFDA,Protection,2016
Afghanistan,Kandahar,SC/US,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Kandahar,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Nuristan,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Nuristan,IMC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Nuristan,IMC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Kunar,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Kunar,IMC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Kunar,IMC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Kunar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Kunar,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Badakhshan,ACTED,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Badakhshan,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Humanitarian Coordination and Information Management,2016
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Natural and Technological Risks,2016
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Badakhshan,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Badakhshan,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Badakhshan,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2016
Afghanistan,Laghman,ACTED,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Laghman,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Laghman,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Laghman,IMC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Laghman,IMC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Laghman,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Laghman,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Laghman,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Laghman,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Laghman,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Laghman,SC/US,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Nangarhar,ACTED,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Nangarhar,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2016
Afghanistan,Nangarhar,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Nangarhar,IMC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Nangarhar,IMC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Nangarhar,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Nangarhar,IRC,USAID/OFDA,Risk Management Policy and Practice,2016
Afghanistan,Nangarhar,IRC,USAID/OFDA,Shelter and Settlements,2016
Afghanistan,Nangarhar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2016
Afghanistan,Herat,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Herat,IRC,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Herat,IRC,USAID/OFDA,Protection,2017
Afghanistan,Herat,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Herat,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Herat,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Badghis,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Badghis,IRC,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Badghis,IRC,USAID/OFDA,Protection,2017
Afghanistan,Badghis,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Badghis,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Badghis,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Uruzgan,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Uruzgan,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Uruzgan,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Uruzgan,ZOA,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Helmand,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Helmand,IRC,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Helmand,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Helmand,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Helmand,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Helmand,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Helmand,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Kandahar,INTERSOS,USAID/OFDA,Health,2017
Afghanistan,Kandahar,INTERSOS,USAID/OFDA,Nutrition,2017
Afghanistan,Kandahar,INTERSOS,USAID/OFDA,Protection,2017
Afghanistan,Kandahar,INTERSOS,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Kandahar,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Kandahar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Kandahar,SC/US,USAID/OFDA,Protection,2017
Afghanistan,Kandahar,SC/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Kandahar,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Zabul,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Zabul,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Bamyan,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Bamyan,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Faryab,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Faryab,SC/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Faryab,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Faryab,ACTED,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Faryab,ACTED,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Faryab,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Faryab,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Economic Recovery and Market Systems,2017
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Protection,2017
Afghanistan,Sar-e Pul,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Sar-e Pul,ZOA,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Sar-e Pul,ZOA,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Economic Recovery and Market Systems,2017
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Protection,2017
Afghanistan,Jowzjan,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Jowzjan,ZOA,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Jowzjan,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Balkh,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Balkh,SC/US,USAID/OFDA,Economic Recovery and Market Systems,2017
Afghanistan,Balkh,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Balkh,SC/US,USAID/OFDA,Protection,2017
Afghanistan,Balkh,SC/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Balkh,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Balkh,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Kunduz,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Kunduz,SC/US,USAID/OFDA,Economic Recovery and Market Systems,2017
Afghanistan,Kunduz,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Kunduz,SC/US,USAID/OFDA,Protection,2017
Afghanistan,Kunduz,SC/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Kunduz,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Takhar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Takhar,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Humanitarian Coordination and Information Management,2017
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Badakhshan,AKF/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Badakhshan,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Badakhshan,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Badakhshan,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Humanitarian Coordination and Information Management,2017
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Baghlan,AKF/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Baghlan,ACTED,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Baghlan,ACTED,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Baghlan,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Baghlan,ACTED,USAID/Afghanistan,"Water, Sanitation, and Hygiene",2017
Afghanistan,Nuristan,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Nuristan,IMC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Nuristan,IMC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Kunar,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Kunar,IMC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Kunar,IMC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Kunar,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Kunar,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Kabul,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Kabul,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Kabul,SC/US,USAID/OFDA,Protection,2017
Afghanistan,Kabul,SC/US,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Kabul,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Kabul,AKF/US,USAID/OFDA,Humanitarian Coordination and Information Management,2017
Afghanistan,Loghar,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Loghar,IRC,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Loghar,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Loghar,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Loghar,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Paktiya,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Paktiya,IRC,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Paktiya,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Paktiya,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Paktiya,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Khost,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Khost,IRC,USAID/OFDA,Natural and Technological Risks,2017
Afghanistan,Khost,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Khost,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Khost,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Laghman,ACTED,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Laghman,ACTED,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Laghman,ACTED,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Laghman,IMC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Laghman,IMC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Laghman,IMC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Laghman,IRC,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Laghman,IRC,USAID/OFDA,Protection,2017
Afghanistan,Laghman,IRC,USAID/OFDA,Risk Management Policy and Practice,2017
Afghanistan,Laghman,IRC,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Laghman,IRC,USAID/OFDA,"Water, Sanitation, and Hygiene",2017
Afghanistan,Laghman,SC/US,USAID/OFDA,Agriculture and Food Security,2017
Afghanistan,Laghman,SC/US,USAID/OFDA,Logistics Support and Relief Commodities,2017
Afghanistan,Laghman,SC/US,USAID/OFDA,Shelter and Settlements,2017
Afghanistan,Nangarhar,ACTED,USAID/OFDA,Logistics Support and Relief Commodities,2017
